"X"|"profile_educ"|"profile_gender"|"profile_homeown"|"profile_hhincome"|"profile_marital"|"dem_age_r_x"|"profile_region9"|"pid_x"|"presapp_track"|"presapp_job"|"presapp_jobstr"|"presapp_job_x"|"presapp_econ"|"presapp_econstr"|"presapp_econ_x"|"presapp_foreign"|"presapp_foreignstr"|"presapp_foreign_x"|"presapp_health"|"presapp_healthstr"|"presapp_health_x"|"presapp_war"|"presapp_warstr"|"presapp_war_x"|"libcpre_self"|"libcpre_choose"|"libcpre_dpc"|"libcpre_rpc"|"libcpre_ptyd"|"libcpre_ptyr"|"libcpo_self"|"libcpo_selfch"|"libcpo_hdc"|"libcpo_hrc"|"paprofile_libcon_self"|"paprofile_libcon_pres"
1154|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|21|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"1. Approve"|"-8. Don't know"|"-8. Don't know"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"2. Liberal"|"-1. Inapplicable"|"2. Liberal"|"6. Conservative"|"2. Liberal"|"6. Conservative"|"2. Liberal"|"-1. Inapplicable"|"-8. Don't know"|"5. Slightly conservative"|"-1. Inapplicable"|"-1. Inapplicable"
1343|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|32|"-1. Inapplicable"|"-2. Missing"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-2. Haven't thought much about this"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-2. Haven't thought much {do not probe}"|"1. Liberal"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"
1366|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|23|"-1. Inapplicable"|"-2. Missing"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"4. Moderate; middle of the road"|"1. Liberal"|"1. Extremely liberal"|"5. Slightly conservative"|"3. Slightly liberal"|"5. Slightly conservative"|"-2. Haven't thought much {do not probe}"|"3. Moderate {VOL}"|"-1. Inapplicable"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"
1475|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|30|"-1. Inapplicable"|"-2. Missing"|"1. Right direction"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"-2. Haven't thought much about this"|"-8. Don't know"|"5. Slightly conservative"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"3. Slightly liberal"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"
1558|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|90|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"4. Moderate; middle of the road"|"3. Moderate {VOL}"|"2. Liberal"|"5. Slightly conservative"|"2. Liberal"|"4. Moderate; middle of the road"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-1. Inapplicable"|"-1. Inapplicable"
1668|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|41|"-1. Inapplicable"|"-2. Missing"|"1. Right direction"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-2. Haven't thought much about this"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"4. Moderate; middle of the road"|"-2. Haven't thought much {do not probe}"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"
1688|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|18|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"-2. Haven't thought much about this"|"3. Moderate {VOL}"|"3. Slightly liberal"|"4. Moderate; middle of the road"|"4. Moderate; middle of the road"|"5. Slightly conservative"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-1. Inapplicable"|"-1. Inapplicable"
1710|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|69|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"6. Conservative"|"-1. Inapplicable"|"1. Extremely liberal"|"6. Conservative"|"2. Liberal"|"5. Slightly conservative"|"6. Conservative"|"-1. Inapplicable"|"2. Liberal"|"4. Moderate; middle of the road"|"-1. Inapplicable"|"-1. Inapplicable"
1927|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|27|"-1. Inapplicable"|"-2. Missing"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-9. Refused"|"-9. Refused"|"2. Liberal"|"6. Conservative"|"-8. Don't know"|"-8. Don't know"|"-2. Haven't thought much {do not probe}"|"-9. Refused"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"
4602|"2. High school"|"2. Female"|"1. Owned or being bought by you or someone in your household"|"15. $85,000 to $99,999"|"1. Married"|69|"5. South atlantic"|"-2. Missing"|"2. Wrong track"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-9. Refused"|"-9. Refused"
4861|"2. High school"|"2. Female"|"1. Owned or being bought by you or someone in your household"|"16. $100,000 to $124,999"|"1. Married"|54|"6. East-south central"|"-2. Missing"|"2. Wrong track"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"7. Extremely conservative"|"-1. Inapplicable"|"1. Extremely liberal"|"6. Conservative"|"1. Extremely liberal"|"4. Moderate; middle of the road"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"-9. Refused"|"6. Conservative"|"1. Extremely liberal"
4981|"3. Some college"|"1. Male"|"1. Owned or being bought by you or someone in your household"|"8. $25,000 to $29,999"|"1. Married"|37|"6. East-south central"|"-2. Missing"|"2. Wrong track"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"6. Conservative"|"-1. Inapplicable"|"1. Extremely liberal"|"4. Moderate; middle of the road"|"2. Liberal"|"4. Moderate; middle of the road"|"7. Extremely conservative"|"-1. Inapplicable"|"4. Moderate; middle of the road"|"5. Slightly conservative"|"7. Extremely conservative"|"1. Extremely liberal"
